epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,37.9919,0.79097,0.66139,1.0809,0.82753,0.49287,0.53247,0.29295,1.77941,2.04973,1.48717,2.35472e-05,2.35472e-05,2.35472e-05
76,38.4224,0.66607,0.6501,1.03813,0.82753,0.49287,0.53247,0.29295,1.77941,2.04973,1.48717,2.29819e-05,2.29819e-05,2.29819e-05
77,38.8553,0.72482,0.77896,1.11013,0.82753,0.49287,0.53247,0.29295,1.77941,2.04973,1.48717,2.23929e-05,2.23929e-05,2.23929e-05
78,39.3288,0.84802,0.98794,1.28276,0.82885,0.48264,0.53431,0.25987,1.79017,2.1104,1.50365,2.17805e-05,2.17805e-05,2.17805e-05
79,39.7412,0.70512,0.88339,1.14161,0.82885,0.48264,0.53431,0.25987,1.79017,2.1104,1.50365,2.11444e-05,2.11444e-05,2.11444e-05
80,40.1679,0.64303,0.59845,1.02396,0.82885,0.48264,0.53431,0.25987,1.79017,2.1104,1.50365,2.04848e-05,2.04848e-05,2.04848e-05
81,40.7394,0.79669,0.94088,1.29155,0.84268,0.48914,0.53184,0.25542,1.80666,2.19151,1.52351,1.98016e-05,1.98016e-05,1.98016e-05
82,41.1724,0.77313,0.64047,1.28354,0.84268,0.48914,0.53184,0.25542,1.80666,2.19151,1.52351,1.90949e-05,1.90949e-05,1.90949e-05
83,41.6142,0.78007,0.70001,1.31209,0.84268,0.48914,0.53184,0.25542,1.80666,2.19151,1.52351,1.83646e-05,1.83646e-05,1.83646e-05
84,42.103,0.72691,0.7483,1.12029,0.84242,0.47478,0.51957,0.2579,1.80295,2.16446,1.5127,1.76107e-05,1.76107e-05,1.76107e-05
85,42.526,0.7592,0.90184,1.16431,0.84242,0.47478,0.51957,0.2579,1.80295,2.16446,1.5127,1.68333e-05,1.68333e-05,1.68333e-05
86,42.9352,0.67824,1.03789,1.11135,0.84242,0.47478,0.51957,0.2579,1.80295,2.16446,1.5127,1.60323e-05,1.60323e-05,1.60323e-05
87,43.3477,1.15208,1.80287,1.61956,0.84242,0.47478,0.51957,0.2579,1.80295,2.16446,1.5127,1.52077e-05,1.52077e-05,1.52077e-05
88,43.7955,0.6266,0.81025,1.07245,0.84843,0.47057,0.51635,0.27827,1.80476,2.14823,1.48661,1.43596e-05,1.43596e-05,1.43596e-05
89,44.2145,0.61348,0.74764,1.28107,0.84843,0.47057,0.51635,0.27827,1.80476,2.14823,1.48661,1.34879e-05,1.34879e-05,1.34879e-05
90,44.6543,0.80757,0.81906,1.2513,0.84843,0.47057,0.51635,0.27827,1.80476,2.14823,1.48661,1.25927e-05,1.25927e-05,1.25927e-05
91,48.6477,0.64789,0.58615,1.10442,0.84843,0.47057,0.51635,0.27827,1.80476,2.14823,1.48661,1.16739e-05,1.16739e-05,1.16739e-05
92,49.1233,0.73767,0.62587,1.25603,0.85774,0.46574,0.50922,0.27297,1.79978,2.14102,1.50354,1.07315e-05,1.07315e-05,1.07315e-05
93,49.542,0.59306,0.60797,1.06438,0.85774,0.46574,0.50922,0.27297,1.79978,2.14102,1.50354,9.76562e-06,9.76562e-06,9.76562e-06
94,49.9723,0.6842,0.60888,1.03462,0.85774,0.46574,0.50922,0.27297,1.79978,2.14102,1.50354,8.77613e-06,8.77613e-06,8.77613e-06
95,50.3976,0.55921,0.52815,0.97913,0.85774,0.46574,0.50922,0.27297,1.79978,2.14102,1.50354,7.76308e-06,7.76308e-06,7.76308e-06
96,50.8322,0.54052,0.5655,0.99522,0.85862,0.4645,0.53536,0.28275,1.74915,2.0067,1.43866,6.72648e-06,6.72648e-06,6.72648e-06
97,51.2483,0.5632,0.53415,1.05725,0.85862,0.4645,0.53536,0.28275,1.74915,2.0067,1.43866,5.6663e-06,5.6663e-06,5.6663e-06
98,51.6438,0.56476,0.49143,0.96321,0.85862,0.4645,0.53536,0.28275,1.74915,2.0067,1.43866,4.58257e-06,4.58257e-06,4.58257e-06
99,52.0517,0.58798,0.61258,1.12264,0.85862,0.4645,0.53536,0.28275,1.74915,2.0067,1.43866,3.47528e-06,3.47528e-06,3.47528e-06
100,52.5087,0.47876,0.45583,0.9439,0.83539,0.48333,0.56855,0.31639,1.7534,1.9077,1.43637,2.34442e-06,2.34442e-06,2.34442e-06
